directors,popularity,stars,title,writers
Frank Darabont,101,"Tim Robbins,Morgan Freeman,Bob Gunton",The Shawshank Redemption,"Stephen King,Frank Darabont"
Francis Ford Coppola,103,"Marlon Brando,Al Pacino,James Caan",The Godfather,"Mario Puzo,Francis Ford Coppola"
Steven Spielberg,235,"Liam Neeson,Ralph Fiennes,Ben Kingsley",Schindler's List,"Thomas Keneally,Steven Zaillian"
Christopher Nolan,131,"Christian Bale,Heath Ledger,Aaron Eckhart",The Dark Knight,"Jonathan Nolan,Christopher Nolan"
Francis Ford Coppola,256,"Al Pacino,Robert De Niro,Robert Duvall",The Godfather: Part II,"Francis Ford Coppola,Mario Puzo"
Sidney Lumet,507,"Henry Fonda,Lee J. Cobb,Martin Balsam",12 Angry Men,"Reginald Rose,Reginald Rose"
Quentin Tarantino,194,"John Travolta,Uma Thurman,Samuel L. Jackson",Pulp Fiction,"Quentin Tarantino,Roger Avary"
Sergio Leone,539,"Clint Eastwood,Eli Wallach,Lee Van Cleef","The Good, the Bad and the Ugly","Luciano Vincenzoni,Sergio Leone"
Peter Jackson,271,"Elijah Wood,Viggo Mortensen,Ian McKellen",The Lord of the Rings: The Return of the King,"J.R.R. Tolkien,Fran Walsh"
Peter Jackson,148,"Elijah Wood,Ian McKellen,Orlando Bloom",The Lord of the Rings: The Fellowship of the Ring,"J.R.R. Tolkien,Fran Walsh"
Robert Zemeckis,259,"Tom Hanks,Robin Wright,Gary Sinise",Forrest Gump,"Winston Groom,Eric Roth"
David Fincher,244,"Brad Pitt,Edward Norton,Meat Loaf",Fight Club,"Chuck Palahniuk,Jim Uhls"
Irvin Kershner,702,"Mark Hamill,Harrison Ford,Carrie Fisher",Star Wars: Episode V - The Empire Strikes Back,"Leigh Brackett,Lawrence Kasdan"
Christopher Nolan,172,"Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page",Inception,Christopher Nolan
Milos Forman,492,"Jack Nicholson,Louise Fletcher,Michael Berryman",One Flew Over the Cuckoo's Nest,"Lawrence Hauben,Bo Goldman"
Martin Scorsese,292,"Leonardo DiCaprio,Matt Damon,Jack Nicholson",The Departed,"William Monahan,Alan Mak"
Quentin Tarantino,286,"Jamie Foxx,Christoph Waltz,Leonardo DiCaprio",Django Unchained,Quentin Tarantino
Billy Wilder,,"Tyrone Power,Marlene Dietrich,Charles Laughton",Witness for the Prosecution,"Agatha Christie,Billy Wilder"
Sam Mendes,329,"Kevin Spacey,Annette Bening,Thora Birch",American Beauty,Alan Ball
Peter Jackson,429,"Elijah Wood,Ian McKellen,Viggo Mortensen",The Lord of the Rings: The Two Towers,"J.R.R. Tolkien,Fran Walsh"
Chan-wook Park,671,"Min-sik Choi,Ji-tae Yu,Hye-jeong Kang",Oldboy,"Garon Tsuchiya,Nobuaki Minegishi"
James Cameron,477,"Sigourney Weaver,Michael Biehn,Carrie Henn",Aliens,"James Cameron,David Giler"
Christopher Nolan,"242
        ","Christian Bale,Tom Hardy,Anne Hathaway",The Dark Knight Rises,"Jonathan Nolan,Christopher Nolan"
Wolfgang Petersen,"2,163","Jürgen Prochnow,Herbert Grönemeyer,Klaus Wennemann",Das Boot,"Wolfgang Petersen,Lothar G. Buchheim"
Sergio Leone,,"Robert De Niro,James Woods,Elizabeth McGovern",Once Upon a Time in America,"Harry Grey,Leonardo Benvenuti"
Stanley Donen,"2,065","Gene Kelly,Donald O'Connor,Debbie Reynolds",Singin' in the Rain,"Betty Comden,Adolph Green"
Robert Mulligan,738,"Gregory Peck,John Megna,Frank Overton",To Kill a Mockingbird,"Harper Lee,Horton Foote"
Vittorio De Sica,,"Lamberto Maggiorani,Enzo Staiola,Lianella Carell",Bicycle Thieves,"Cesare Zavattini,Luigi Bartolini"
Rajkumar Hirani,"2,320","Aamir Khan,Madhavan,Mona Singh",3 Idiots,"Rajkumar Hirani,Abhijat Joshi"
Quentin Tarantino,187,"Brad Pitt,Diane Kruger,Eli Roth",Inglourious Basterds,Quentin Tarantino
Sergio Leone,,"Clint Eastwood,Lee Van Cleef,Gian Maria Volontè",For a Few Dollars More,"Sergio Leone,Fulvio Morsella"
Lee Unkrich,872,"Tom Hanks,Tim Allen,Joan Cusack",Toy Story 3,"John Lasseter,Andrew Stanton"
Pete Docter,751,"Edward Asner,Jordan Nagai,John Ratzenberger",Up,"Pete Docter,Bob Peterson"
John Huston,"3,000","Humphrey Bogart,Walter Huston,Tim Holt",The Treasure of the Sierra Madre,"John Huston,B. Traven"
Clint Eastwood,881,"Clint Eastwood,Gene Hackman,Morgan Freeman",Unforgiven,David Webb Peoples
Michael Mann,508,"Al Pacino,Robert De Niro,Val Kilmer",Heat,Michael Mann
Martin Scorsese,"1,694","Robert De Niro,Cathy Moriarty,Joe Pesci",Raging Bull,"Jake LaMotta,Joseph Carter"
John McTiernan,949,"Bruce Willis,Alan Rickman,Bonnie Bedelia",Die Hard,"Roderick Thorp,Jeb Stuart"
John Sturges,"1,782","Steve McQueen,James Garner,Richard Attenborough",The Great Escape,"Paul Brickhill,James Clavell"
Guillermo del Toro,216,"Ivana Baquero,Ariadna Gil,Sergi López",Pan's Labyrinth,Guillermo del Toro
Guy Ritchie,"1,230","Jason Flemyng,Dexter Fletcher,Nick Moran","Lock, Stock and Two Smoking Barrels",Guy Ritchie
Martin Scorsese,174,"Leonardo DiCaprio,Jonah Hill,Margot Robbie",The Wolf of Wall Street,"Terence Winter,Jordan Belfort"
Ridley Scott,87,"Harrison Ford,Rutger Hauer,Sean Young",Blade Runner,"Hampton Fancher,David Webb Peoples"
Gavin O'Connor,490,"Tom Hardy,Nick Nolte,Joel Edgerton",Warrior,"Gavin O'Connor,Anthony Tambakis"
Elia Kazan,"3,057","Marlon Brando,Karl Malden,Lee J. Cobb",On the Waterfront,"Budd Schulberg,Budd Schulberg"
Paul Thomas Anderson,303,"Daniel Day-Lewis,Paul Dano,Ciarán Hinds",There Will Be Blood,"Paul Thomas Anderson,Upton Sinclair"
John Carpenter,830,"Kurt Russell,Wilford Brimley,Keith David",The Thing,"Bill Lancaster,John W. Campbell Jr."
Elem Klimov,,"Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius",Come and See,"Ales Adamovich,Ales Adamovich"
Michael Cimino,478,"Robert De Niro,Christopher Walken,John Cazale",The Deer Hunter,"Michael Cimino,Deric Washburn"
Alfred Hitchcock,,"Laurence Olivier,Joan Fontaine,George Sanders",Rebecca,"Daphne Du Maurier,Robert E. Sherwood"
Mel Gibson,209,"Andrew Garfield,Sam Worthington,Luke Bracey",Hacksaw Ridge,"Robert Schenkkan,Andrew Knight"
Oliver Stone,"1,166","Charlie Sheen,Tom Berenger,Willem Dafoe",Platoon,Oliver Stone
Sean Penn,374,"Emile Hirsch,Vince Vaughn,Catherine Keener",Into the Wild,"Sean Penn,Jon Krakauer"
William Wyler,"2,000","Charlton Heston,Jack Hawkins,Stephen Boyd",Ben-Hur,"Lew Wallace,Karl Tunberg"
Rob Reiner,714,"Wil Wheaton,River Phoenix,Corey Feldman",Stand by Me,"Stephen King,Raynold Gideon"
Terry George,"2,841","Don Cheadle,Sophie Okonedo,Joaquin Phoenix",Hotel Rwanda,"Keir Pearson,Terry George"
Neeraj Pandey,,"Anupam Kher,Naseeruddin Shah,Jimmy Shergill",A Wednesday,"Neeraj Pandey,Neeraj Pandey"
George Miller,213,"Tom Hardy,Charlize Theron,Nicholas Hoult",Mad Max: Fury Road,"George Miller,Brendan McCarthy"
Peter Weir,482,"Jim Carrey,Ed Harris,Laura Linney",The Truman Show,Andrew Niccol
John Huston,"4,059","Humphrey Bogart,Mary Astor,Gladys George",The Maltese Falcon,"John Huston,Dashiell Hammett"
Rob Reiner,299,"Cary Elwes,Mandy Patinkin,Robin Wright",The Princess Bride,"William Goldman,William Goldman"
Steven Spielberg,707,"Leonardo DiCaprio,Tom Hanks,Christopher Walken",Catch Me If You Can,"Jeff Nathanson,Frank Abagnale Jr."
